Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_metodo,precio_representativo,precio_skew,precio_shapiro_p,precio_coef_var_pct,precio_justificacion,area_m2_metodo,area_m2_representativo,area_m2_skew,area_m2_shapiro_p,area_m2_coef_var_pct,area_m2_justificacion,PxM2_metodo,PxM2_representativo,PxM2_skew,PxM2_shapiro_p,PxM2_coef_var_pct,PxM2_justificacion
Sep25,Zap,Ven,Cas,La Calma,14,mediana_IQR,6210000.0,-0.5098489119407599,,102.16083934413597,condiciones mixtas: preferible robustez,mediana_IQR,211.57142857142858,0.313979852312116,,95.9743018950856,condiciones mixtas: preferible robustez,mediana_IQR,30230.350330318844,-1.7502031724635818,,45.34720801152174,asimetría fuerte |skew|>1
Sep25,Zap,Ven,Cas,La Casita,2,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Ceiba,2,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Cima,27,mediana_IQR,8993703.703703703,3.2343322450307777,,102.16083934413597,asimetría fuerte |skew|>1,mediana_IQR,248.37037037037038,4.140221795083194,,95.9743018950856,asimetría fuerte |skew|>1,mediana_IQR,39950.6993072904,0.757371792039406,,45.34720801152174,condiciones mixtas: preferible robustez
Sep25,Zap,Ven,Cas,La Escondida,2,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Estancia,15,mediana_IQR,13101734.2,1.8019882205969706,,102.16083934413597,asimetría fuerte |skew|>1,mediana_IQR,316.06666666666666,0.9373475625517627,,95.9743018950856,condiciones mixtas: preferible robustez,mediana_IQR,43170.60103105817,0.9160300582412382,,45.34720801152174,condiciones mixtas: preferible robustez
Sep25,Zap,Ven,Cas,La Giralda,6,mediana_rango,14148333.333333334,-0.7406602116237354,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,484.6666666666667,0.7343210553241388,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,29752.622561355776,0.19630747708171872,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,La Gloria del Colli,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Granja,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Haciendita,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Higuera,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Joya,3,no_estadistica,,-1.3027858496392306,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,-0.028844524084564036,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,-1.7244477918228405,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Loma,2,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Loma Alta,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Mesa Colorada Poniente,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Mesa de La Coronilla,6,mediana_rango,30457102.166666668,2.36580985480619,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,461.6666666666667,0.03683948213512651,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,66237.59300863008,-0.4772506924461623,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,La Mojonera,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Mora,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Moraleja,5,mediana_rango,2781200.0,-0.6936339894005947,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,102.6,-0.6530822774142243,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,27599.49815430048,0.39736270910003174,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,La Palmita,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Patria Universidad,2,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Periquera,3,no_estadistica,,-1.6797331859515043,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,-0.38318635571425275,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,0.06173532012250552,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Primavera,4,no_estadistica,,1.9741918955218667,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,0.4988532224628245,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,0.9127115828052127,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Sauceda,2,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Stravaganza,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Toscana,9,mediana_rango,17757621.666666668,0.6302967461447414,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,371.1111111111111,-0.42660067285712533,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,48445.69632094277,0.4756032561770327,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,La Tuzanía,3,no_estadistica,,0.0,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,0.5855827262813896,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,0.29817455220105293,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,La Venta del Astillero,6,mediana_rango,6388333.333333333,0.6608478516658918,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,428.0,2.3173891640399087,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,22521.256518996874,-0.31896063130063307,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,Lagos del Country,11,mediana_IQR,10439181.818181818,1.890205322519869,,102.16083934413597,asimetría fuerte |skew|>1,mediana_IQR,295.45454545454544,1.6855167211519353,,95.9743018950856,asimetría fuerte |skew|>1,mediana_IQR,36305.64421579109,1.6490652375991557,,45.34720801152174,asimetría fuerte |skew|>1
Sep25,Zap,Ven,Cas,Las Alamedas,2,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Las Arboledas,8,mediana_rango,6673750.0,2.2824964829158056,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,251.375,0.36876935889459134,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,31235.02338453562,1.7397650344888722,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,Las Cumbres,3,no_estadistica,,1.624567768239725,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,1.5767857578842333,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,0.9912383405387101,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Las Flores,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Las Fuentes,11,mediana_IQR,22372727.272727273,-0.6102710392356017,,102.16083934413597,condiciones mixtas: preferible robustez,mediana_IQR,593.6363636363636,0.013534286849801467,,95.9743018950856,condiciones mixtas: preferible robustez,mediana_IQR,39734.23546510089,1.569193649030076,,45.34720801152174,asimetría fuerte |skew|>1
Sep25,Zap,Ven,Cas,Las Lomas Golf Hábitat,9,mediana_rango,41840112.55555555,1.6870711904242226,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,687.5555555555555,1.0151812320695122,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,60661.8942581816,-0.7265273204413734,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,Las Palmas,2,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Las Palomas,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Las Águilas,9,mediana_rango,5221111.111111111,-0.0692036706670262,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,221.33333333333334,-1.1694491195899697,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,24425.399883148853,0.698603916754054,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,Le Parc,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Loma Bonita,6,mediana_rango,7793333.333333333,0.1789421986355888,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,247.0,-0.948680874916753,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,31840.59854225512,-1.313792332568769,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,Loma Bonita Ejidal,6,mediana_rango,3975000.0,-1.6113546051024508,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,261.5,-0.11030111464996868,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,15436.099905026886,0.3993213280476506,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,Loma Bonita Sur,2,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Loma Chica,3,no_estadistica,,0.11101802327091587,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,1.3871936890531031,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,-0.43104981954557736,,45.34720801152174,n<5 sin estadística confiable
