colonia,municipio,count,precio_mediano,longitud_centro,latitud_centro
Prados Providencia,Guadalajara,38,32500.0,-103.392719,20.689359
Providencia,Guadalajara,28,25801.5,-103.377577,20.700946
Providencia 2a Sección,Guadalajara,11,29000.0,-103.381314,20.695103
Providencia 3a Sección,Guadalajara,3,17000.0,-103.38096,20.70042
Providencia 4a Sección,Guadalajara,4,22250.0,-103.389182,20.694477
Puerta Las Lomas,Zapopan,10,125000.0,-103.436649,20.705503
Puerta de Hierro,Zapopan,74,48000.0,-103.415241,20.712345
Puerta de Plata,Zapopan,21,50000.0,-103.417691,20.703142
Puerta del Bosque,Zapopan,6,41000.0,-103.421193,20.703101
Puerta del Tule,Zapopan,17,22000.0,-103.44743,20.700633
Puerta del Valle,Zapopan,12,25000.0,-103.420195,20.724931
San Juan de Ocotán,Zapopan,3,27000.0,-103.455692,20.714429
Santa Rita,Guadalajara,4,35000.0,-103.402616,20.679182
Santillana,Zapopan,3,25500.0,-103.463188,20.719771
Sin Nombre,Zapopan,3,36000.0,-103.419808,20.700672
Solares,Zapopan,14,21750.0,-103.45596,20.725243
Solares Antara,Zapopan,3,26160.0,-103.467311,20.725293
Sole Real,Zapopan,7,27000.0,-103.453929,20.730974
Torres Cibeles,Zapopan,3,22000.0,-103.430435,20.736825
Vallarta Norte,Guadalajara,10,24750.0,-103.391495,20.677042
Vallarta San Jorge,Guadalajara,18,38000.0,-103.399845,20.677273
Vallarta Universidad,Zapopan,4,21650.0,-103.426776,20.68835
Valle Imperial,Zapopan,4,23500.0,-103.43799,20.777969
Valle Real,Zapopan,16,32000.0,-103.4407,20.725202
Victoria,Guadalajara,3,17500.0,-103.397873,20.645912
Villa Universitaria,Zapopan,5,39000.0,-103.411875,20.694022
Villas de Asís,Zapopan,3,40000.0,-103.441718,20.691866
Villaseñor (Santa Teresita),Guadalajara,7,20000.0,-103.368699,20.688403
Zapopan Centro,Zapopan,4,14250.0,-103.387708,20.73048
Zona Centro,Guadalajara,10,22750.0,-103.354446,20.674065
