colonia,municipio,count,precio_mediano,longitud_centro,latitud_centro
Vallarta Universidad,Zapopan,27,11475000.0,-103.426614,20.688442
Valle Esmeralda,Zapopan,9,7400000.0,-103.442607,20.731363
Valle Imperial,Zapopan,405,5300000.0,-103.437089,20.779957
Valle Norte,Zapopan,4,2411500.0,-103.469655,20.787586
Valle Real,Zapopan,95,16000000.0,-103.443149,20.724136
Valle de La Providencia,Zapopan,4,2090000.0,-103.467489,20.777104
Valle de Los Molinos,Zapopan,4,1365000.0,-103.42686,20.850352
Valle de Los Sauces,Zapopan,4,4225000.0,-103.382696,20.751034
Valle de San Isidro,Zapopan,25,3600000.0,-103.387382,20.750384
Verde Valle,Guadalajara,3,10565000.0,-103.391173,20.652034
Vicente Guerrero,Zapopan,5,2230000.0,-103.439362,20.77067
Victoria,Guadalajara,23,10500000.0,-103.396234,20.648049
Victoria,Zapopan,25,8200000.0,-103.400323,20.644109
Villa Coral,Zapopan,4,24342500.0,-103.400785,20.717681
Villa Fontana Diamante,Zapopan,3,780000.0,-103.471984,20.777926
Villa Puerta del Sol,Zapopan,3,2800000.0,-103.426123,20.652128
Villa Universitaria,Zapopan,36,15150000.0,-103.412423,20.69417
Villa Verona,Zapopan,35,12100000.0,-103.445226,20.701869
Villas Torremolinos,Zapopan,5,2700000.0,-103.399678,20.751021
Villas de San Juan,Guadalajara,3,2450000.0,-103.334948,20.701456
Villas de Tesistán,Zapopan,3,2350000.0,-103.47935,20.801921
Villas del Palmar,Zapopan,3,2900000.0,-103.426067,20.751114
Villaseñor (Santa Teresita),Guadalajara,36,4065838.5,-103.367022,20.68786
Virreyes,Zapopan,41,11500000.0,-103.439136,20.695031
Vistas del Valle,Zapopan,30,7980000.0,-103.487532,20.609388
Vistas del Valle 1,Zapopan,21,7300000.0,-103.486438,20.611035
Viveros del Valle,Zapopan,10,4085000.0,-103.435817,20.748198
Zapopan Centro,Zapopan,25,2500000.0,-103.387633,20.730498
Zona Centro,Guadalajara,43,3600000.0,-103.354291,20.675383
Zoquipan,Zapopan,3,3390000.0,-103.366992,20.715807
