colonia,municipio,count,precio_mediano,longitud_centro,latitud_centro
Ciudad de Los Niños,Zapopan,7,13850000.0,-103.410938,20.662961
Ciudad del Sol,Zapopan,50,10242500.0,-103.405805,20.652649
Colina de Los Belenes,Zapopan,4,3475000.0,-103.374932,20.745674
Colinas El Centinela,Zapopan,4,4420000.0,-103.391222,20.768129
Colinas de Huentitán,Guadalajara,3,1830708.0,-103.302601,20.725111
Colinas de La Abadía,Zapopan,3,15162660.0,-103.425876,20.711149
Colinas de La Primavera,Zapopan,3,5900000.0,-103.470609,20.634744
Colinas de Las Águilas,Zapopan,4,4145000.0,-103.410618,20.62211
Colinas de Los Robles,Zapopan,5,1635000.0,-103.421536,20.765563
Colinas de San Javier,Guadalajara,24,9327948.0,-103.400519,20.701944
Colinas de San Javier,Zapopan,6,19288540.0,-103.404752,20.696677
Colinas del Rey,Zapopan,7,4590000.0,-103.407051,20.751261
Colinas del Rio,Zapopan,16,4299500.0,-103.418877,20.771419
Colli Ctm,Zapopan,4,3990000.0,-103.425134,20.647411
Colli Sitio,Zapopan,4,3675000.0,-103.440365,20.652579
Colomos,Guadalajara,8,6869111.5,-103.387815,20.70213
Colomos Providencia,Guadalajara,110,6490000.0,-103.38228,20.707745
Colon Industrial,Guadalajara,3,4490000.0,-103.37305,20.640141
Conjunto Patria,Zapopan,8,13400000.0,-103.378853,20.716461
Constitución,Zapopan,8,3375000.0,-103.370884,20.728272
Cordilleras,Zapopan,6,5045000.0,-103.418358,20.670838
Coto Abie,Zapopan,24,3412505.0,-103.422554,20.782294
Coto Altaterra,Zapopan,4,3031000.0,-103.424756,20.778458
Coto Altaterra II,Zapopan,3,2950000.0,-103.424361,20.777462
Coto Alva 1,Zapopan,13,3600000.0,-103.421753,20.791782
Coto Alva 2,Zapopan,6,2050000.0,-103.422705,20.790674
Coto Alva 3,Zapopan,9,1400000.0,-103.42483,20.791942
Coto Creta,Zapopan,5,4399000.0,-103.416374,20.788134
Coto El Secreto,Zapopan,3,3570000.0,-103.440009,20.745315
Coto F2 Norte Sienna,Zapopan,5,4100000.0,-103.413849,20.788259
Coto F2 Sur Sivec,Zapopan,14,4211768.5,-103.413815,20.785793
Coto Galarza,Zapopan,34,4309500.0,-103.407277,20.787919
Coto Las Ventanas,Zapopan,3,3500000.0,-103.405281,20.767854
Coto Vitana,Zapopan,15,5450000.0,-103.406581,20.767184
Coto Zoi,Zapopan,12,3342500.0,-103.413367,20.785155
Country Club,Guadalajara,50,9116500.0,-103.371282,20.70383
De La Azalea,Zapopan,3,4475000.0,-103.383945,20.736954
De Los Sauces,Zapopan,3,3650000.0,-103.381694,20.753333
Del Bosque,Guadalajara,11,2700000.0,-103.387284,20.653494
Del Fresno,Guadalajara,16,2800000.0,-103.371045,20.65859
Del Parque,Zapopan,26,5797408.0,-103.445562,20.665417
Del Sur,Guadalajara,6,3745000.0,-103.373148,20.649691
Del Valle,Zapopan,6,4265823.0,-103.429874,20.740555
Dr. Valentín Gómez Farías,Guadalajara,3,1596000.0,-103.377662,20.623092
Ecológica El Seattle,Zapopan,3,11900000.0,-103.378644,20.721176
El Bajo Hábitat 1,Zapopan,3,10590000.0,-103.46641,20.699747
El Bajo Hábitat 2,Zapopan,9,13770000.0,-103.466317,20.700902
El Bajío,Zapopan,37,4683000.0,-103.472319,20.689664
El Batan,Zapopan,3,3500000.0,-103.346633,20.722687
El Bosque,Zapopan,6,3825000.0,-103.382498,20.757114
El Briseño,Zapopan,5,2890000.0,-103.436623,20.625699
El Campanario,Zapopan,12,3362500.0,-103.436632,20.592348
El Campestre,Zapopan,42,3910000.0,-103.54176,20.737849
El Capullo,Zapopan,5,30000000.0,-103.383286,20.72166
El Carmen,Guadalajara,3,2100000.0,-103.386457,20.619883
El Centinela,Zapopan,29,4211000.0,-103.384147,20.770674
El Colli Urbano,Zapopan,59,5150000.0,-103.427339,20.642685
El Dean,Guadalajara,3,3499000.0,-103.349459,20.634741
El Fortín,Zapopan,16,3245000.0,-103.474,20.626808
El Paraíso,Zapopan,4,4240000.0,-103.378675,20.726273
El Rastro,Guadalajara,9,3884197.0,-103.34817,20.625989
El Retiro,Guadalajara,19,2480000.0,-103.340892,20.68413
El Rosario,Guadalajara,6,3650000.0,-103.328642,20.638816
El Sauz,Guadalajara,3,1695000.0,-103.390744,20.625718
El Vigía,Zapopan,21,3316000.0,-103.391354,20.73366
El Zapote,Zapopan,4,4327670.0,-103.416018,20.655243
Elite,Zapopan,16,4876500.0,-103.460235,20.719689
Esencia,Zapopan,3,7875000.0,-103.454151,20.724039
Eucalipto Vallarta,Zapopan,3,8800000.0,-103.427347,20.676927
Ferrocarril,Guadalajara,3,1650000.0,-103.348972,20.650028
Fidel Velázquez,Guadalajara,10,3120000.0,-103.353145,20.712755
Fontee,Zapopan,20,9900000.0,-103.46944,20.727697
Foret,Zapopan,7,4590000.0,-103.480533,20.628814
Fovissste (Estatuto Jurídico),Zapopan,3,1980000.0,-103.404511,20.736865
Francisco Sarabia,Zapopan,29,3284000.0,-103.439895,20.612939
Girasoles Elite,Zapopan,9,3787000.0,-103.423277,20.741268
Guadalajara (Technology Park),Zapopan,32,7875000.0,-103.489861,20.726504
Guadalajarita,Zapopan,7,6454820.0,-103.398234,20.713855
Guadalupe Inn,Zapopan,6,3609500.0,-103.44599,20.660122
Guadalupe Jardín,Zapopan,7,7299000.0,-103.428389,20.659688
Guadalupe Sur,Zapopan,4,4625000.0,-103.437412,20.653421
Gustavo Diaz Ordaz,Zapopan,7,3495000.0,-103.420035,20.620245
Hacienda Copala,Zapopan,5,700000.0,-103.433164,20.869028
Hacienda de Las Lomas,Zapopan,9,7390000.0,-103.415576,20.685769
Hacienda del Sol,Zapopan,4,7492500.0,-103.399638,20.759962
Hacienda del Tepeyac,Zapopan,7,2820000.0,-103.442236,20.651509
Hacienda del Valle,Zapopan,3,1600000.0,-103.39563,20.759867
Hernández Romo,Guadalajara,3,2200000.0,-103.32059,20.665146
Hogares de Nuevo México,Zapopan,4,5040000.0,-103.427913,20.763989
Huentitán El Bajo,Guadalajara,7,2200000.0,-103.313829,20.735765
Independencia,Guadalajara,7,4950000.0,-103.330707,20.704046
Independencia Oriente,Guadalajara,12,4300000.0,-103.329757,20.691795
Industrial Zapopan Norte,Zapopan,3,3749000.0,-103.388144,20.747131
Insurgentes,Guadalajara,10,3619500.0,-103.282348,20.650105
Italia Providencia,Guadalajara,22,8099962.5,-103.378657,20.693445
Jacarandas,Zapopan,9,10900000.0,-103.383297,20.715439
Jardines Alcalde,Guadalajara,12,6056500.0,-103.340923,20.703803
Jardines Plaza del Sol,Guadalajara,5,7800000.0,-103.394858,20.65682
Jardines Tepeyac,Zapopan,6,4850000.0,-103.421518,20.661479
Jardines Universidad,Zapopan,20,6910000.0,-103.419687,20.688868
Jardines Vallarta,Zapopan,27,8290000.0,-103.425227,20.681977
Jardines de Chapalita,Zapopan,3,7190000.0,-103.441054,20.659522
Jardines de Guadalupe,Zapopan,29,9150000.0,-103.42421,20.664791
Jardines de La Cruz,Guadalajara,5,4500000.0,-103.380642,20.642426
Jardines de La Patria,Zapopan,20,5496065.5,-103.420093,20.684581
Jardines de La Paz,Guadalajara,9,3650000.0,-103.299729,20.645037
Jardines de Las Fuentes,Zapopan,3,2300000.0,-103.464825,20.779564
Jardines de Los Arcos,Guadalajara,13,5600000.0,-103.394928,20.66926
Jardines de Los Poetas,Guadalajara,6,2202500.0,-103.292692,20.648965
Jardines de Nuevo México,Zapopan,19,3030000.0,-103.452887,20.770294
Jardines de San Ignacio,Zapopan,16,9645000.0,-103.405953,20.668832
Jardines de San José,Guadalajara,4,3850000.0,-103.387082,20.634256
Jardines del Bosque,Guadalajara,87,5129212.0,-103.38349,20.665237
Jardines del Country,Guadalajara,21,4950000.0,-103.36204,20.707369
Jardines del Sauz,Guadalajara,4,1820000.0,-103.395013,20.625766
Jardines del Sol,Zapopan,12,6172500.0,-103.414228,20.650922
Jardines del Sur,Guadalajara,6,2300000.0,-103.392296,20.634732
Jardines del Valle,Zapopan,26,3255000.0,-103.43148,20.748942
Jardines del Vergel,Zapopan,10,3177212.5,-103.372843,20.752918
Jardines del Vigía,Zapopan,5,4005000.0,-103.391223,20.733563
Jardín Real,Zapopan,96,7670000.0,-103.435835,20.736486
Jocotán,Zapopan,28,4824405.0,-103.441414,20.687624
Juan Manuel,Guadalajara,10,5882345.0,-103.391449,20.680295
Juan Manuel Vallarta,Zapopan,35,5723000.0,-103.412393,20.679917
La Alhambra,Zapopan,3,2050000.0,-103.45709,20.808754
La Aurora,Guadalajara,9,1990000.0,-103.341814,20.653376
La Calma,Zapopan,51,4500000.0,-103.41353,20.634524
La Ceiba,Zapopan,15,6200000.0,-103.425188,20.717011
La Cima,Zapopan,55,7900000.0,-103.412047,20.750428
La Cruz,Guadalajara,5,6000000.0,-103.389479,20.639781
La Escondida,Zapopan,3,2780000.0,-103.470021,20.628203
La Esperanza (La Federacha),Guadalajara,9,5500000.0,-103.314815,20.708818
La Estancia,Zapopan,27,7600000.0,-103.430006,20.67028
La Giralda,Zapopan,17,5700000.0,-103.406267,20.643419
