Ciudad,Colonia,operacion,tipo_propiedad,precio_q5,precio_q10,precio_q25,precio_q50,precio_q75,precio_q90,precio_q95,area_m2_q5,area_m2_q10,area_m2_q25,area_m2_q50,area_m2_q75,area_m2_q90,area_m2_q95,PxM2_q5,PxM2_q10,PxM2_q25,PxM2_q50,PxM2_q75,PxM2_q90,PxM2_q95
Gdl,Atlas,Ven,Cas,2652500.0,2655000.0,2662500.0,2675000.0,2687500.0,2695000.0,2697500.0,102.15,104.3,110.75,121.5,132.25,138.7,140.85,18954.895104895102,19378.321678321678,20648.601398601397,22765.734265734267,24882.867132867133,26153.146853146853,26576.573426573425
Gdl,Atlas,Ven,Dep,3287119.5,3293021.0,3310725.5,3340233.0,3480086.5,3563998.6,3591969.3,76.6,77.2,79.0,82.0,82.0,82.0,82.0,40408.41171373556,40801.969768934534,41982.64393453145,43950.43421052631,44048.02198331193,44106.57464698331,44126.092201540436
Gdl,Autocinema,Ven,Cas,3428208.3,3556416.6,3941041.5,4582083.0,5223124.5,5607749.4,5735957.7,156.95,157.9,160.75,165.5,170.25,173.1,174.05,21771.629846153846,22389.413538461537,24242.764615384614,27331.683076923073,30420.601538461535,32273.952615384613,32891.73630769231
Gdl,Ayuntamiento,Ren,Dep,3750000.0,3750000.0,3750000.0,3750000.0,3750000.0,3750000.0,3750000.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,48701.2987012987,48701.2987012987,48701.2987012987,48701.2987012987,48701.2987012987,48701.2987012987,48701.2987012987
Gdl,Ayuntamiento,Ven,Cas,3685000.0,4070000.0,5225000.0,7150000.0,9075000.0,10230000.0,10615000.0,102.45,117.9,164.25,241.5,318.75,365.1,380.55,28285.440613026818,28793.103448275862,30316.091954022988,32854.4061302682,35392.72030651341,36915.70881226054,37423.37164750958
Gdl,Ayuntamiento,Ven,Dep,2488457.25,2587034.5,3450000.0,4475000.0,5125000.0,5800000.0,6245000.0,49.75,58.5,74.75,87.0,108.75,128.0,134.75,40023.4375,43781.67229729729,45048.389974132544,46695.09494179045,53255.208333333336,59805.194805194806,62133.7916396104
Gdl,Balcones de Oblatos,Ven,Cas,5100000.0,5100000.0,5100000.0,5100000.0,5100000.0,5100000.0,5100000.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,23076.92307692308,23076.92307692308,23076.92307692308,23076.92307692308,23076.92307692308,23076.92307692308,23076.92307692308
Gdl,Barragán Hernández,Ven,Dep,1732719.0,1808528.0,2035955.0,2415000.0,2576623.5,2673597.6,2705922.3,46.6,48.2,53.0,61.0,65.0,67.4,68.2,35182.02222222222,35364.044444444444,35910.11111111111,36820.22222222222,40854.758652094715,43275.48051001821,44082.38779599271
Gdl,Barragán Hernández,Ven,Local comercial,3300000.0,3300000.0,3300000.0,3300000.0,3300000.0,3300000.0,3300000.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,25384.615384615383,25384.615384615383,25384.615384615383,25384.615384615383,25384.615384615383,25384.615384615383,25384.615384615383
Gdl,Beatriz Hernández,Ven,Cas,2910500.0,2931000.0,2992500.0,3095000.0,3197500.0,3259000.0,3279500.0,151.85,153.7,159.25,168.5,177.75,183.3,185.15,17728.039215686276,17809.01960784314,18051.960784313727,18456.862745098042,18861.764705882353,19104.705882352944,19185.686274509804
