id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Gdl-SanJ_LocC-001M-104_01-01-00_Pulpp-10334-20675,Inm24,Gdl,San Juan de Dios,Ven,LocC,104,1.0,,1800000,,-103.341268,20.675289,27.0,1.0,50.0,17307.69231
Gdl-SanJ_LocC-013M-270_00-02-00_Jairo-10333-20676,Inm24,Gdl,San Juan de Dios,Ven,LocC,270,,,13500000,,-103.338822,20.676601,34.0,2.0,40.0,50000.0
Gdl-SanM_LocC-003M-191_04-01-00_Espac-10335-20698,Inm24,Gdl,San Miguel de Mezquitán,Ven,LocC,191,4.0,,3190000,,-103.352842,20.698387,131.0,1.0,50.0,16701.57068
Gdl-Sant_LocC-002M-080_18-00-00_DMXDE-10339-20641,Inm24,Gdl,Santa Eduwiges,Ven,LocC,80,18.0,,2550000,3000.0,-103.39114,20.641361,28.0,0.5,0.0,31875.0
Gdl-Sant_LocC-016M-420_00-00-00_Macro-10339-20641,Inm24,Gdl,Santa Eduwiges,Ven,LocC,420,,,16000000,,-103.393254,20.641741,17.0,0.0,0.0,38095.2381
Gdl-Sant_LocC-005M-300_00-02-00_REMAX-10331-20684,Inm24,Gdl,Santa María,Ven,LocC,300,,,5800000,,-103.311,20.6849,90.0,2.0,1.0,19333.33333
Gdl-Vall_LocC-020M-757_05-04-00_GRUPO-10339-20677,Inm24,Gdl,Vallarta Norte,Ven,LocC,757,5.0,,20280000,,-103.390275,20.677534,244.0,4.0,30.0,26789.96037
Gdl-Vall_LocC-002M-030_00-01-00_PLAYA-10339-20678,Inm24,Gdl,Vallarta Norte,Ven,LocC,30,1.0,,2500000,3500.0,-103.392891,20.678061,202.0,1.0,0.0,83333.33333
Gdl-Vall_LocC-008M-133_00-01-00_Angel-10339-20678,Inm24,Gdl,Vallarta San Jorge,Ven,LocC,133,3.0,,8990000,,-103.394096,20.67833,69.0,1.0,1.0,67593.98496
Gdl-Vict_LocC-018M-492_08-06-02_JPKEX-10339-20651,Inm24,Gdl,Victoria,Ven,LocC,492,8.0,2.0,18500000,,-103.393648,20.651603,,6.0,4.0,37601.62602
Gdl-Vill_LocC-012M-558_03-01-00_SIERR-10336-20679,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,LocC,558,3.0,,12500000,,-103.366797,20.679388,168.0,1.0,30.0,22401.43369
Gdl-Vill_LocC-012M-964_00-00-00_YABEA-10336-20683,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,LocC,964,,,12000000,,-103.368206,20.683163,131.0,0.0,1.0,12448.13278
Gdl-Vill_LocC-003M-036_00-00-00_Ariad-10336-20684,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,LocC,36,1.0,,3600000,2284.0,-103.36659,20.684194,16.0,0.5,29.0,100000.0
