id,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,precio,longitud,latitud,PxM2
Zap-Virr_CasC-014M-412_04-04-00_ALIAN-10343-20695,Zap,Virreyes,Ven,CasC,412,14845000,-103.437529,20.695471,36031.5534
Zap-Puer_Cas-060K-486_03-03-04_VALFE-10342-20710,Zap,Puerta de Hierro,Ren,Cas,486,60000,-103.420093,20.71052,123.4567901
Zap-Ciud_Cas-095K-650_07-07-08_Grupo-10340-20646,Zap,Ciudad del Sol,Ren,Cas,650,95000,-103.409187,20.646668,146.1538462
Zap-Bosq_Cas-033K-210_03-03-02_ADRIA-10347-20718,Zap,Bosques Vallarta,Ren,Cas,210,33000,-103.477902,20.718174,157.1428571
Zap-Parq_CasC-014K-106_03-03-01_Grupo-10338-20760,Zap,Parques del Centinela,Ren,CasC,106,14500,-103.387328,20.760202,136.7924528
Gdl-Monr_Cas-075K-560_06-05-04_Cauda-10339-20684,Gdl,Monraz,Ren,Cas,560,75000,-103.393406,20.684506,133.9285714
Zap-Coli_CasC-048K-460_03-04-03_ASESO-10343-20701,Zap,Colinas Virreyes,Ren,CasC,460,48000,-103.434933,20.701516,104.3478261
Gdl-Mode_Cas-044K-266_04-02-04_ALIMA-10337-20666,Gdl,Moderna,Ren,Cas,266,44500,-103.372637,20.666156,167.2932331
Zap-Puer_CasC-075K-482_04-05-04_MARIB-10342-20712,Zap,Puerta de Hierro,Ren,CasC,482,75000,-103.421315,20.712021,155.6016598
Zap-Coli_Cas-016K-090_03-02-01_Flore-10339-20768,Zap,Colinas El Centinela,Ren,Cas,90,16500,-103.391222,20.768129,183.3333333
Zap-SanI_CasC-017K-163_03-03-02_1erNi-10338-20756,Zap,San Isidro Residencial,Ren,CasC,163,17900,-103.385466,20.756504,109.8159509
Zap-Rinc_Cas-039K-250_04-04-02_Marce-10344-20692,Zap,Rinconadas del Bosque,Ren,Cas,250,39000,-103.444958,20.692922,156.0
Zap-Arbo_Cas-012K-097_02-02-02_INMOB-10346-20784,Zap,Arboreto Residencial,Ren,Cas,97,12500,-103.467905,20.784664,128.8659794
Zap-Puer_CasC-135K-502_04-05-04_MiInm-10343-20705,Zap,Puerta Las Lomas,Ren,CasC,502,135000,-103.43647,20.705434,268.9243028
Zap-Ciud_Cas-011M-332_03-04-04_CoruR-10344-20602,Zap,Ciudad Bugambilias,Ven,Cas,332,11900000,-103.445573,20.602957,35843.37349
Zap-Vall_Cas-020K-200_04-02-02_Realt-10343-20779,Zap,Valle Imperial,Ren,Cas,200,20000,-103.432297,20.779248,100.0
Zap-Vice_Cas-010K-090_03-02-02_INMOB-10343-20767,Zap,Vicente Guerrero,Ren,Cas,90,10000,-103.437903,20.76722,111.1111111
Gdl-Coli_CasC-090K-500_03-03-04_susan-10339-20703,Gdl,Colinas de San Javier,Ren,CasC,500,90000,-103.39838,20.703054,180.0
Zap-Bosq_Cas-006M-174_03-03-02_ÚNICA-10347-20717,Zap,Bosques Vallarta,Ven,Cas,174,6950000,-103.473875,20.717664,39942.52874
Zap-Vill_Cas-039K-270_03-03-03_DEPTO-10340-20691,Zap,Villa Universitaria,Ren,Cas,270,39000,-103.409826,20.691559,144.4444444
Zap-Ciud_Cas-039K-250_04-04-04_HUMBE-10345-20675,Zap,Ciudad Granja,Ren,Cas,250,39500,-103.452045,20.675313,158.0
Gdl-Jard_Cas-033K-302_04-02-04_LICDA-10338-20664,Gdl,Jardines del Bosque,Ren,Cas,302,33000,-103.386167,20.664122,109.2715232
Gdl-Zona_Cas-050K-439_07-04-00_PALOM-10334-20675,Gdl,Zona Centro,Ren,Cas,439,50000,-103.34737,20.67569,113.8952164
Zap-Vill_Cas-080K-310_04-04-03_Punta-10344-20691,Zap,Villas de Asís,Ren,Cas,310,80000,-103.441227,20.691759,258.0645161
Zap-Port_CasC-030K-180_03-03-02_Grupo-10345-20729,Zap,Porta Real,Ren,CasC,180,30000,-103.452209,20.729335,166.6666667
Zap-Carr_CasC-018K-171_03-02-02_Acert-10341-20789,Zap,Carrara,Ren,CasC,171,18000,-103.414454,20.78944,105.2631579
Zap-Conj_Cas-065K-600_06-07-00_Andre-10338-20717,Zap,Conjunto Patria,Ren,Cas,600,65000,-103.380219,20.717566,108.3333333
Zap-Jard_CasC-028K-180_03-03-02_Grupo-10343-20736,Zap,Jardín Real,Ren,CasC,180,28000,-103.438295,20.736285,155.5555556
Zap-Guad_CasC-033K-207_04-04-03_MAGNA-10349-20729,Zap,Guadalajara (Technology Park),Ren,CasC,207,33000,-103.491319,20.729369,159.4202899
Zap-Puer_Cas-075K-482_03-04-04_EDITH-10341-20716,Zap,Puerta de Hierro,Ren,Cas,482,75000,-103.418033,20.716829,155.6016598
Gdl-Prov_Cas-095K-700_09-07-02_INMOB-10337-20701,Gdl,Providencia,Ren,Cas,700,95000,-103.377177,20.7011,135.7142857
Zap-Autó_CasC-015K-127_03-03-02_Maria-10348-20619,Zap,Autódromo,Ren,CasC,127,15000,-103.480384,20.619352,118.1102362
Zap-ElRe_CasC-005M-184_03-02-03_ZonaR-10344-20739,Zap,El Real,Ven,CasC,184,5200000,-103.446547,20.739549,28260.86957
Zap-Vict_Cas-025K-190_04-03-02_PABLO-10339-20639,Zap,Victoria,Ren,Cas,190,25000,-103.399214,20.639575,131.5789474
Zap-Jaca_Cas-046K-400_03-03-02_ALIMA-10338-20714,Zap,Jacarandas,Ren,Cas,400,46000,-103.382746,20.714036,115.0
Zap-Oliv_Cas-062K-300_03-04-03_Grupo-10345-20732,Zap,Olivos Residencial,Ren,Cas,300,62000,-103.459937,20.732809,206.6666667
Zap-Oyam_Cas-013K-099_03-02-02_MiInm-10347-20630,Zap,Oyamel III,Ren,Cas,99,13500,-103.477732,20.630081,136.3636364
Zap-Resi_CasC-016K-115_03-03-02_Karst-10342-20738,Zap,Residencial del Valle,Ren,CasC,115,16000,-103.427438,20.738335,139.1304348
Zap-LasF_CasC-035K-250_04-02-03_GRUPO-10342-20626,Zap,Las Fuentes,Ren,CasC,250,35000,-103.428511,20.62616,140.0
Zap-Oliv_CasC-053K-326_04-05-04_PRYAg-10345-20733,Zap,Olivos Residencial,Ren,CasC,326,53000,-103.459852,20.733599,162.5766871
Zap-Méxi_Cas-026K-240_03-02-02_susan-10340-20682,Zap,México,Ren,Cas,240,26500,-103.403744,20.682073,110.4166667
Zap-Send_CasC-023K-185_04-03-02_Jocel-10341-20779,Zap,Sendas Residencial G2,Ren,CasC,185,23600,-103.416017,20.779106,127.5675676
Zap-Jard_Cas-036K-227_05-02-00_ADRIA-10342-20666,Zap,Jardines de Guadalupe,Ren,Cas,227,36500,-103.420105,20.666887,160.7929515
Zap-Nuev_Cas-018K-130_03-02-02_Miner-10344-20655,Zap,Nueva Galicia 2,Ren,Cas,130,18900,-103.442687,20.655166,145.3846154
Zap-Vale_CasC-032K-180_03-03-01_EDGAR-10347-20725,Zap,Valeira,Ren,CasC,180,32500,-103.470027,20.725869,180.5555556
Gdl-Ladr_Cas-020K-171_06-05-02_MIDIS-10337-20688,Gdl,Ladrón de Guevara,Ren,Cas,171,20000,-103.372262,20.688549,116.9590643
Zap-Agrí_Cas-017K-130_04-02-04_María-10343-20615,Zap,Agrícola,Ren,Cas,130,17500,-103.430562,20.615322,134.6153846
