Ciudad,Colonia,operacion,tipo_propiedad,variable,valor
Desconocido,Desconocida,Ven,Cas,precio,9140000.0
Zap,Fontee,Ven,Cas,precio,15385200.0
Desconocido,Desconocida,Ven,Cas,precio,8600000.0
Gdl,Vallarta Norte,Ven,Cas,precio,6990000.0
Zap,Argenta Parque Residencial,Ven,Cas,precio,6400000.0
Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,precio,17300000.0
Zap,Santa Rita,Ven,Cas,precio,16900000.0
Zap,Puerta Las Lomas,Ven,Cas,precio,28531999.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,35000000.0
Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,precio,45000000.0
Zap,Valle Imperial,Ven,Cas,precio,5980000.0
Zap,Loma Bonita,Ven,Cas,precio,7690000.0
Zap,Jardín Real,Ven,Cas,precio,9700000.0
Zap,Jardines del Valle,Ven,Cas,precio,9400000.0
Zap,Guadalupe Sur,Ven,Cas,precio,4450000.0
Zap,Virreyes,Ven,Cas,precio,22950000.0
Zap,Valle Imperial,Ven,Cas,precio,4200000.0
Zap,Valle Imperial,Ven,Cas,precio,5900000.0
Zap,Solares,Ven,Cas,precio,12350000.0
Gdl,Americana,Ven,Cas,precio,11500000.0
Gdl,Santa Elena de La Cruz,Ven,Cas,precio,4750000.0
Zap,Santa Fe,Ven,Cas,precio,23400000.0
Desconocido,Desconocida,Ven,Cas,precio,7280000.0
Zap,La Mesa Colorada Poniente,Ven,Cas,precio,1300000.0
Zap,El Colli Urbano,Ven,Cas,precio,2850000.0
Zap,Guadalupe Inn,Ven,Cas,precio,3536000.0
Gdl,8 de Julio,Ven,Cas,precio,5500000.0
Zap,Villas Vallarta,Ven,Cas,precio,4450000.0
Zap,Valle Imperial,Ven,Cas,precio,5649000.0
Zap,Francisco Sarabia,Ven,Cas,precio,3686000.0
Zap,Bosques Vallarta,Ven,Cas,precio,8890000.0
Zap,Villa Universitaria,Ven,Cas,precio,20280000.0
Zap,La Cima,Ven,Cas,precio,7950000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,19500000.0
Zap,Lomas Altas,Ven,Cas,precio,78000000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,9300000.0
Zap,Solares Antara,Ven,Cas,precio,7890000.0
Zap,Solares,Ven,Cas,precio,7950000.0
Gdl,Jardines de Santa Isabel,Ven,Cas,precio,5300000.0
Zap,Valle Real,Ven,Cas,precio,53000000.0
Zap,Chapalita de Occidente,Ven,Cas,precio,15900000.0
Zap,Mirador del Sol,Ven,Cas,precio,6900000.0
Zap,Constitución,Ven,Cas,precio,7604544.0
Zap,Hacienda del Tepeyac,Ven,Cas,precio,3800000.0
Zap,Los Castaños,Ven,Cas,precio,18950000.0
Zap,Jardín Real,Ven,Cas,precio,8890000.0
Zap,Paseos del Sol,Ven,Cas,precio,4600000.0
Gdl,Vallarta Poniente,Ven,Cas,precio,11495000.0
Zap,Santa Rita,Ven,Cas,precio,21500000.0
Zap,La Joya,Ven,Cas,precio,8600000.0
Zap,Villa Universitaria,Ven,Cas,precio,16800000.0
Gdl,Americana,Ven,Cas,precio,9500000.0
Gdl,Jardines de La Paz,Ven,Cas,precio,7349000.0
Zap,Azaleas,Ven,Cas,precio,19210000.0
Zap,La Cima,Ven,Cas,precio,8100000.0
Desconocido,Desconocida,Ven,Cas,precio,6900000.0
Zap,Zotogrande,Ven,Cas,precio,50000000.0
Zap,Villas Belenes,Ven,Cas,precio,4800000.0
Zap,Puerta Las Lomas,Ven,Cas,precio,30900000.0
Zap,Santillana,Ven,Cas,precio,6750000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,9488000.0
Zap,Jardines de Guadalupe,Ven,Cas,precio,11490000.0
Zap,Guadalajarita,Ven,Cas,precio,9900000.0
Zap,Colli Ctm,Ven,Cas,precio,2580000.0
Zap,Viveros del Valle,Ven,Cas,precio,4270000.0
Zap,Lomas de Zapopan,Ven,Cas,precio,6100000.0
Zap,Cañadas,Ven,Cas,precio,5250000.0
Zap,Puerta de Plata,Ven,Cas,precio,26000000.0
Zap,Valle Imperial,Ven,Cas,precio,3500000.0
Zap,Valle Imperial,Ven,Cas,precio,5500000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,19980000.0
Zap,Villa Verona,Ven,Cas,precio,18250000.0
Zap,Ciudad del Sol,Ven,Cas,precio,8850000.0
Zap,Valle Real,Ven,Cas,precio,16700000.0
Desconocido,Desconocida,Ven,Cas,precio,8600000.0
Zap,La Cima,Ven,Cas,precio,7200000.0
Zap,Victoria,Ven,Cas,precio,13200000.0
Zap,Santa Ana Tepetitlán,Ven,Cas,precio,4199000.0
Zap,Santa Fe,Ven,Cas,precio,9500000.0
Zap,Valle Real,Ven,Cas,precio,15900000.0
Gdl,Providencia,Ven,Cas,precio,13300000.0
Gdl,Jardines Alcalde,Ven,Cas,precio,10250000.0
Zap,El Campestre,Ven,Cas,precio,3590000.0
Zap,Coto Galarza,Ven,Cas,precio,4250000.0
Gdl,Independencia Oriente,Ven,Cas,precio,4300000.0
Zap,Jardines de San Ignacio,Ven,Cas,precio,13000000.0
Gdl,Vallarta Poniente,Ven,Cas,precio,8990000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,15600000.0
Zap,Virreyes,Ven,Cas,precio,13590000.0
Zap,Vistas del Valle,Ven,Cas,precio,8500000.0
Desconocido,Desconocida,Ven,Cas,precio,7950000.0
Zap,Francisco Sarabia,Ven,Cas,precio,3330082.0
Zap,Mirador del Sol,Ven,Cas,precio,6850000.0
Zap,Valle Real,Ven,Cas,precio,14800000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,4250000.0
Zap,El Campestre,Ven,Cas,precio,3350000.0
Gdl,El Rosario,Ven,Cas,precio,12000000.0
Zap,Puerta del Tule,Ven,Cas,precio,13800000.0
Zap,La Calma,Ven,Cas,precio,9990000.0
Zap,Lomas del Valle,Ven,Cas,precio,39865000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,9950000.0
Desconocido,Desconocida,Ven,Cas,precio,7896500.0
Desconocido,Desconocida,Ven,Cas,precio,9550000.0
Gdl,Chapalita,Ven,Cas,precio,14900000.0
Zap,Las Lomas Golf Hábitat,Ven,Cas,precio,75900000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,6000000.0
Zap,Valle Imperial,Ven,Cas,precio,7250000.0
Gdl,Jardines del Country,Ven,Cas,precio,4850000.0
Desconocido,Desconocida,Ven,Cas,precio,8617500.0
Zap,Ayamonte,Ven,Cas,precio,40899999.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,10500000.0
Zap,Parque Virreyes,Ven,Cas,precio,11800000.0
Zap,Loma Real,Ven,Cas,precio,29500000.0
Zap,Real Vallarta,Ven,Cas,precio,10800000.0
Zap,El Capullo,Ven,Cas,precio,33900000.0
Zap,Base Aérea Militar No 5,Ven,Cas,precio,6950000.0
Zap,Lomas del Valle,Ven,Cas,precio,54990000.0
Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Cas,precio,7350000.0
Zap,Jardines Universidad,Ven,Cas,precio,7900000.0
Gdl,Chapultepec Country,Ven,Cas,precio,6000000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,36000000.0
Zap,Jardines de Guadalupe,Ven,Cas,precio,15500000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,14900000.0
Gdl,Independencia,Ven,Cas,precio,4950000.0
Gdl,Beatriz Hernández,Ven,Cas,precio,3300000.0
Zap,Valle Real,Ven,Cas,precio,15000000.0
Zap,Coto Altaterra,Ven,Cas,precio,2320000.0
Gdl,Obrera,Ven,Cas,precio,11500000.0
Zap,Guadalupe Inn,Ven,Cas,precio,3629000.0
Zap,Sevilla,Ven,Cas,precio,3400000.0
Zap,Solares Althea,Ven,Cas,precio,6800000.0
Zap,Paseos Universidad,Ven,Cas,precio,4290000.0
Zap,Conjunto Patria,Ven,Cas,precio,14500000.0
Gdl,Lázaro Cárdenas,Ven,Cas,precio,3800000.0
Zap,Valle Real,Ven,Cas,precio,28950000.0
Zap,Bosques,Ven,Cas,precio,4280000.0
Zap,Valle Imperial,Ven,Cas,precio,4450000.0
Gdl,Colomos Providencia,Ven,Cas,precio,15000000.0
Zap,Bosques,Ven,Cas,precio,5095000.0
Zap,Puerta de Hierro,Ven,Cas,precio,35000000.0
Gdl,Chapalita,Ven,Cas,precio,12950000.0
Zap,Jardines de San Gonzalo,Ven,Cas,precio,2180000.0
Zap,Tabachines,Ven,Cas,precio,6900000.0
Gdl,Ladrón de Guevara,Ven,Cas,precio,10650000.0
Gdl,San Antonio,Ven,Cas,precio,3600000.0
Desconocido,Desconocida,Ven,Cas,precio,8149000.0
Gdl,Villaseñor (Santa Teresita),Ven,Cas,precio,2500000.0
Zap,Arcos de Guadalupe,Ven,Cas,precio,8400000.0
Zap,Centro,Ven,Cas,precio,3695000.0
Zap,Villa Universitaria,Ven,Cas,precio,9850000.0
Zap,Guadalupe Sur,Ven,Cas,precio,4650000.0
Zap,Bosque de Los Lagos,Ven,Cas,precio,37900000.0
Zap,Valle de San Isidro,Ven,Cas,precio,3500000.0
Zap,Solares,Ven,Cas,precio,8950000.0
Zap,Valle de San Isidro,Ven,Cas,precio,3750000.0
Gdl,Ladrón de Guevara,Ven,Cas,precio,13500000.0
Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,precio,8890000.0
Zap,Alcázar Poniente,Ven,Cas,precio,34929999.0
Zap,Jardines Vallarta,Ven,Cas,precio,13900000.0
Zap,El Colli Urbano,Ven,Cas,precio,2870000.0
Zap,El Colli Urbano,Ven,Cas,precio,8950000.0
Zap,Valle Imperial,Ven,Cas,precio,3249270.0
Gdl,La Loma,Ven,Cas,precio,5000000.0
Desconocido,Desconocida,Ven,Cas,precio,9190000.0
Gdl,Colomos Providencia,Ven,Cas,precio,12495000.0
Gdl,Moderna,Ven,Cas,precio,8890000.0
Zap,Jardín Real,Ven,Cas,precio,10800000.0
Zap,Ciudad del Sol,Ven,Cas,precio,20500000.0
Gdl,Independencia Oriente,Ven,Cas,precio,5600000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,8900000.0
Zap,El Campestre,Ven,Cas,precio,3900000.0
Zap,Virreyes,Ven,Cas,precio,18348450.0
Zap,Parque Virreyes,Ven,Cas,precio,23900000.0
Gdl,Providencia,Ven,Cas,precio,24648040.0
Zap,Los Maestros,Ven,Cas,precio,7990000.0
Zap,La Cima,Ven,Cas,precio,7500000.0
Gdl,Americana,Ven,Cas,precio,12000000.0
Gdl,Americana,Ven,Cas,precio,11500000.0
Desconocido,Desconocida,Ven,Cas,precio,9650000.0
Zap,Valle Imperial,Ven,Cas,precio,7000000.0
Zap,Pinar de La Venta,Ven,Cas,precio,16040188.0
Zap,Guadalajara (Technology Park),Ven,Cas,precio,6590000.0
Zap,Jardín Real,Ven,Cas,precio,13400000.0
Zap,Santillana,Ven,Cas,precio,6500000.0
Zap,Valle Esmeralda,Ven,Cas,precio,7500000.0
Zap,Valle Imperial,Ven,Cas,precio,5470000.0
Zap,Valle Imperial,Ven,Cas,precio,4700000.0
Zap,Santa Fe,Ven,Cas,precio,23390000.0
Desconocido,Desconocida,Ven,Cas,precio,13067981.0
Zap,Valle Imperial,Ven,Cas,precio,5980000.0
Zap,Virreyes,Ven,Cas,precio,19500000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,8300000.0
Zap,Rancho Contento,Ven,Cas,precio,22100194.0
Zap,Ciudad Granja,Ven,Cas,precio,4300000.0
Zap,Coto Galarza,Ven,Cas,precio,3990000.0
Zap,Puerta del Bosque,Ven,Cas,precio,31574750.0
Zap,Ciudad del Sol,Ven,Cas,precio,15000000.0
Zap,Bosques Vallarta,Ven,Cas,precio,8250000.0
Zap,Valle Imperial,Ven,Cas,precio,5250000.0
Gdl,Ladrón de Guevara,Ven,Cas,precio,13490000.0
Zap,Fontee,Ven,Cas,precio,10450000.0
Zap,Valle Real,Ven,Cas,precio,25270656.0
Gdl,Ladrón de Guevara,Ven,Cas,precio,8200000.0
Zap,Colinas de San Javier,Ven,Cas,precio,31232456.0
Gdl,Vallarta Poniente,Ven,Cas,precio,13000000.0
Zap,Los Pinos,Ven,Cas,precio,12200000.0
Zap,Las Cumbres,Ven,Cas,precio,5995000.0
Desconocido,Desconocida,Ven,Cas,precio,9300000.0
Zap,La Primavera,Ven,Cas,precio,3747000.0
Zap,Las Lomas Golf Hábitat,Ven,Cas,precio,33422200.0
Zap,Paseos del Parque,Ven,Cas,precio,11195000.0
Zap,Royal Country,Ven,Cas,precio,28276389.0
Zap,Valle Imperial,Ven,Cas,precio,8850000.0
Zap,Sendas Residencial G3,Ven,Cas,precio,4300000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,14900000.0
Zap,Bosques Vallarta,Ven,Cas,precio,7850000.0
Zap,Virreyes,Ven,Cas,precio,19409228.0
Zap,Puerta Las Lomas,Ven,Cas,precio,24523462.0
Gdl,Monraz,Ven,Cas,precio,16800000.0
Zap,Valle Imperial,Ven,Cas,precio,7350000.0
Zap,Soare Acantia I,Ven,Cas,precio,8990000.0
Gdl,Santa Rita,Ven,Cas,precio,14090000.0
Gdl,Vallarta,Ven,Cas,precio,6200000.0
Zap,Soare Acantia I,Ven,Cas,precio,6650000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,14093496.0
Desconocido,Desconocida,Ven,Cas,precio,7250000.0
Zap,Olivos Residencial,Ven,Cas,precio,13900000.0
Desconocido,Desconocida,Ven,Cas,precio,21463020.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,14900000.0
Zap,Madeiras,Ven,Cas,precio,3850000.0
Zap,Jardines de La Patria,Ven,Cas,precio,8700000.0
Zap,La Periquera,Ven,Cas,precio,6750000.0
Gdl,Colomos,Ven,Cas,precio,18990000.0
Zap,Jardines Tepeyac,Ven,Cas,precio,6990000.0
Zap,Reserva Real,Ven,Cas,precio,25787140.0
Zap,Base Aérea Militar No 5,Ven,Cas,precio,8700000.0
