Ciudad,Colonia,operacion,tipo_propiedad,PxM2_median,periodo
Gdl,Jardines de Guadalupe,Ven,Cas,24870.01733102253,Sep25
Gdl,Jardines de La Cruz,Ven,Cas,28235.29411764706,Sep25
Gdl,Jardines de La Cruz,Ven,Dep,24000.0,Sep25
Gdl,Jardines de La Paz,Ven,Cas,28651.685393258427,Sep25
Gdl,Jardines de La Paz,Ven,Dep,23855.421686746988,Sep25
Gdl,Jardines de Los Arcos,Ven,Cas,31617.576165902137,Sep25
Gdl,Jardines de Los Arcos,Ven,Dep,58000.0,Sep25
Gdl,Jardines de Los Historiadores,Ven,Cas,29192.30769230769,Sep25
Gdl,Jardines de Los Historiadores,Ven,Local comercial,15121.212121212122,Sep25
Gdl,Jardines de Los Poetas,Ven,Dep,29981.060606060604,Sep25
Gdl,Jardines de San Francisco,Ven,Cas,13736.263736263736,Sep25
Gdl,Jardines de San José,Ven,Cas,30000.0,Sep25
Gdl,Jardines de San José,Ven,Dep,32738.09523809524,Sep25
Gdl,Jardines de Santa Isabel,Ven,Cas,41569.26673228346,Sep25
Gdl,Jardines del Bosque,Ven,Cas,27818.18181818182,Sep25
Gdl,Jardines del Bosque,Ven,Dep,54267.857142857145,Sep25
Gdl,Jardines del Bosque,Ven,Local comercial,36463.41463414634,Sep25
Gdl,Jardines del Bosque,Ven,Ofc,30685.16183270282,Sep25
Gdl,Jardines del Country,Ven,Cas,29296.875,Sep25
Gdl,Jardines del Country,Ven,Dep,58091.10794602698,Sep25
Gdl,Jardines del Rosario,Ven,Dep,24990.909090909092,Sep25
Gdl,Jardines del Sauz,Ven,Cas,30768.25396825397,Sep25
Gdl,Jardines del Sauz,Ven,Dep,20161.290322580644,Sep25
Gdl,Jardines del Sur,Ven,Cas,42029.91452991453,Sep25
Gdl,Jardines del Sur,Ven,Dep,34319.54137587239,Sep25
Gdl,Juan Manuel,Ven,Cas,58717.253839205056,Sep25
Gdl,Juan Manuel,Ven,Dep,92962.51714285713,Sep25
Gdl,Juan Manuel,Ven,Ofc,27304.96453900709,Sep25
Gdl,La Aurora,Ven,Dep,32622.950819672133,Sep25
Gdl,La Cruz,Ven,Cas,29268.29268292683,Sep25
Gdl,La Cruz,Ven,Dep,39857.142857142855,Sep25
Gdl,La Cruz,Ven,Ofc,27941.176470588234,Sep25
Gdl,La Esperanza (La Federacha),Ven,Cas,15733.333333333334,Sep25
Gdl,La Guadalupana,Ven,Cas,15909.09090909091,Sep25
Gdl,La Guadalupana,Ven,Dep,46703.0,Sep25
Gdl,La Joya,Ven,Cas,17272.727272727272,Sep25
Gdl,La Loma,Ven,Cas,22857.14285714286,Sep25
Gdl,La Loma,Ven,Dep,36585.365853658535,Sep25
Gdl,La Paz,Ven,Cas,14166.666666666666,Sep25
Gdl,La Penal,Ven,Cas,16164.874551971327,Sep25
Gdl,La Penal,Ven,Dep,27720.118118376842,Sep25
Gdl,La Perla,Ven,Cas,15448.91640866873,Sep25
Gdl,La Perla,Ven,Local comercial,26339.285714285717,Sep25
Gdl,La Perla,Ven,Ofc,23450.0,Sep25
Gdl,Ladrón de Guevara,Ven,Cas,34485.71905988372,Sep25
Gdl,Ladrón de Guevara,Ven,Dep,61019.18569935812,Sep25
Gdl,Ladrón de Guevara,Ven,Local comercial,44642.857142857145,Sep25
Gdl,Ladrón de Guevara,Ven,Ofc,60906.838461538464,Sep25
Gdl,Ladrón de Guevara,Ven,Terreno / Lote,27536.23188405797,Sep25
