id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Zap-Hoga_Cas-018K-170_03-02-02_Sandr-10334-20727,Inm24,Zap,Hogares del Batan,Ren,Cas,170,3,2,18000,1200,-103.348332,20.727047,22,2.5,,105.8823529
Zap-Loma_Cas-045K-258_03-04-02_GPINM-10340-20685,Inm24,Zap,Lomas del Valle,Ren,Cas,258,3,2,45000,,-103.407254,20.685207,52,4,5,174.4186047
Zap-Loma_Cas-015K-105_02-01-01_ALIMA-10340-20639,Inm24,Zap,Loma Bonita,Ren,Cas,105,2,1,15500,,-103.4035,20.639399,43,1,51,147.6190476
Zap-Vall_Cas-049K-450_03-04-04_WININ-10344-20724,Inm24,Zap,Valle Real,Ren,Cas,450,3,4,49950,,-103.447018,20.724183,241,4.5,20,111
Zap-Jard_Cas-037K-306_04-05-04_Mónic-10343-20736,Inm24,Zap,Jardín Real,Ren,Cas,306,4,4,37900,,-103.438295,20.736285,20,5,13,123.8562092
Zap-Vill_Cas-039K-220_04-03-03_DEPTO-10340-20691,Inm24,Zap,Villa Universitaria,Ren,Cas,220,4,3,39000,4000,-103.409844,20.691573,16,3.5,3,177.2727273
Zap-ElRe_Cas-025K-143_03-02-02_TereG-10344-20738,Inm24,Zap,El Real,Ren,Cas,143,3,2,25500,,-103.448624,20.738764,21,2,5,178.3216783
Zap-Vall_CasC-023K-210_04-03-02_Edith-10344-20783,Inm24,Zap,Valle Imperial,Ren,CasC,210,4,2,23500,1200,-103.441109,20.783469,30,3.5,,111.9047619
Zap-Arco_Cas-038K-215_04-04-03_SADES-10343-20662,Inm24,Zap,Arcos de Guadalupe,Ren,Cas,215,4,3,38000,,-103.434211,20.662689,27,4.5,,176.744186
Zap-Jard_Cas-050K-415_04-03-03_HORIZ-10340-20671,Inm24,Zap,Jardines de San Ignacio,Ren,Cas,415,4,3,50000,,-103.406445,20.671264,38,3.5,45,120.4819277
Zap-LaCi_Cas-025K-220_04-03-02_Inmue-10341-20753,Inm24,Zap,La Cima,Ren,Cas,220,4,2,25000,,-103.414057,20.753733,0,3,3,113.6363636
Zap-Vall_Cas-019K-180_03-02-03_SINTO-10343-20780,Inm24,Zap,Valle Imperial,Ren,Cas,180,3,3,19800,877,-103.438793,20.780474,24,2.5,,110
Zap-LaEs_Cas-028K-285_03-03-02_BEXTI-10343-20670,Inm24,Zap,La Estancia,Ren,Cas,285,3,2,28500,,-103.430469,20.67091,43,3.5,2,100
Gdl-Jard_Cas-080K-666_08-04-00_Gaant-10338-20669,Inm24,Gdl,Jardines del Bosque,Ren,Cas,666,8,,80000,,-103.387927,20.669523,,4.5,0,120.1201201
Gdl-Monr_Cas-065K-350_04-03-04_MAGNA-10339-20687,Inm24,Gdl,Monraz,Ren,Cas,350,4,4,65000,,-103.397637,20.687303,31,3.5,8,185.7142857
Zap-LaCi_CasC-028K-212_04-03-02_LizAp-10341-20752,Inm24,Zap,La Cima,Ren,CasC,212,4,2,28000,,-103.410321,20.752707,20,3,10,132.0754717
Gdl-Prov_CasC-017K-050_01-01-01_IGNAC-10337-20700,Inm24,Gdl,Providencia 3a Sección,Ren,CasC,50,1,1,17000,,-103.379309,20.700548,29,1,0,340
Zap-Puer_CasC-110K-453_03-04-00_Marer-10343-20706,Inm24,Zap,Puerta Las Lomas,Ren,CasC,453,3,,110000,,-103.436384,20.706557,68,4,5,242.8256071
